No.;Layer;Output Size;Accuracy;Latency [ms];Energy [mJ];Sensor Latency;Sensor Latency IQR;Sensor Energy;Link Latency;Link Energy;Edge Latency;Edge Latency IQR;Edge Energy
1;Identity;(1, 3, 224, 224);0.77674;23.673225100000074;1.4701716;0;0;0;2.450286;1.4701716;21.222939100000076;0.0;0
2;Conv2d: 3-1;[1, 32, 112, 112];0.77676;28.264506939975092;4.020559125465692;0.225792;0;0.10013152546569144;6.534046;3.9204276;21.50466893997509;0.0;0
3;BatchNorm2d: 3-2;[1, 32, 112, 112];0.77676;27.68072969000974;4.020559125465692;0.225792;0;0.10013152546569144;6.534046;3.9204276;20.92089169000974;0.0;0
4;SiLU: 3-3;[1, 32, 112, 112];0.77676;27.809949442018535;4.020559125465692;0.225792;0;0.10013152546569144;6.534046;3.9204276;21.050111442018533;0.0;0
5;Conv2d: 6-1;[1, 32, 112, 112];0.77686;28.95707226400305;4.5678322875758175;1.12896;0;0.6474046875758173;6.534046;3.9204276;21.29406626400305;0.0;0
6;BatchNorm2d: 6-2;[1, 32, 112, 112];0.77686;28.0963916299927;4.5678322875758175;1.12896;0;0.6474046875758173;6.534046;3.9204276;20.4333856299927;0.0;0
7;SiLU: 6-3;[1, 32, 112, 112];0.77686;27.796077905991528;4.5678322875758175;1.12896;0;0.6474046875758173;6.534046;3.9204276;20.133071905991528;0.0;0
8;SqueezeExcitation: 5-2;[1, 32, 112, 112];0.77686;27.998830222011534;4.567889678101778;1.128964;0;0.6474620781017779;6.534046;3.9204276;20.335820222011534;0.0;0
9;Conv2d: 6-9;[1, 16, 112, 112];0.7767;23.206988306004714;2.691355271323194;1.17914;0;0.7311324713231938;3.267038;1.9602228;18.760810306004714;0.0;0
10;BatchNorm2d: 6-10;[1, 16, 112, 112];0.7767;23.783417741988014;2.691355271323194;1.17914;0;0.7311324713231938;3.267038;1.9602228;19.337239741988014;0.0;0
11;Conv2d: 6-14;[1, 96, 56, 56];0.77674;25.588090503995318;5.384325369522273;3.361796;0;2.444000169522272;4.900542000000001;2.9403252;17.325752503995318;0.0;0
12;BatchNorm2d: 6-15;[1, 96, 56, 56];0.77674;24.62153243599414;5.384325369522273;3.361796;0;2.444000169522272;4.900542000000001;2.9403252;16.35919443599414;0.0;0
13;SiLU: 6-16;[1, 96, 56, 56];0.77674;24.249764781997783;5.384325369522273;3.361796;0;2.444000169522272;4.900542000000001;2.9403252;15.987426781997781;0.0;0
14;SqueezeExcitation: 5-6;[1, 96, 56, 56];0.77676;26.169580979997157;5.384404547819633;3.3618040000000002;0;2.4440793478196334;4.900542000000001;2.9403252;17.907234979997156;0.0;0
15;Conv2d: 6-22;[1, 24, 56, 56];0.77676;21.422777566015288;3.251926504833004;3.4182520000000003;0;2.516769304833004;1.2252619999999999;0.7351571999999998;16.77926356601529;0.0;0
16;BatchNorm2d: 6-23;[1, 24, 56, 56];0.77676;21.461635219985187;3.251926504833004;3.4182520000000003;0;2.516769304833004;1.2252619999999999;0.7351571999999998;16.818121219985187;0.0;0
17;MBConv: 3-6;[1, 24, 56, 56];0.77654;26.974176122001218;6.533892333588063;9.740452;0;5.798735133588063;1.2252619999999999;0.7351571999999998;16.00846212200122;0.0;0
18;Conv2d: 6-40;[1, 144, 28, 28];0.77672;29.55612428600241;8.916127236249078;14.086948;0;7.8134628362490774;1.837774;1.1026644;13.631402286002412;0.0;0
19;BatchNorm2d: 6-41;[1, 144, 28, 28];0.77672;30.903528725994217;8.916127236249078;14.086948;0;7.8134628362490774;1.837774;1.1026644;14.978806725994218;0.0;0
20;SiLU: 6-42;[1, 144, 28, 28];0.77672;30.022049075985958;8.916127236249078;14.086948;0;7.8134628362490774;1.837774;1.1026644;14.097327075985959;0.0;0
21;SqueezeExcitation: 5-14;[1, 144, 28, 28];0.77672;29.29436291000033;8.91629612426988;14.086972;0;7.8136317242698805;1.837774;1.1026644;13.369616910000332;0.0;0
22;Conv2d: 6-48;[1, 40, 28, 28];0.77676;29.355402364007542;8.156945342972929;14.124604;0;7.850629742972928;0.510526;0.3063156;14.720272364007542;0.0;0
23;BatchNorm2d: 6-49;[1, 40, 28, 28];0.77676;28.401357484011324;8.156945342972929;14.124604;0;7.850629742972928;0.510526;0.3063156;13.766227484011324;0.0;0
24;MBConv: 3-8;[1, 40, 28, 28];0.77672;36.910320482024076;13.087575238929782;23.070123999999996;0;12.781259638929782;0.510526;0.3063156;13.329670482024085;0.0;0
25;Conv2d: 6-63;[1, 240, 28, 28];0.77664;38.92364151999331;14.671953072881077;23.132843999999995;0;12.834274272881078;3.062798;1.8376788;12.727999519993318;0.0;0
26;BatchNorm2d: 6-64;[1, 240, 28, 28];0.77664;38.402684568013996;14.671953072881077;23.132843999999995;0;12.834274272881078;3.062798;1.8376788;12.207042568014003;0.0;0
27;SiLU: 6-65;[1, 240, 28, 28];0.77664;37.53665273400233;14.671953072881077;23.132843999999995;0;12.834274272881078;3.062798;1.8376788;11.341010734002339;0.0;0
28;Conv2d: 6-66;[1, 240, 14, 14];0.77666;35.78394196599529;14.263656438728447;23.926643999999996;0;13.804192038728447;0.765774;0.45946439999999994;11.091523965995293;0.0;0
29;BatchNorm2d: 6-67;[1, 240, 14, 14];0.77666;36.26426731600932;14.263656438728447;23.926643999999996;0;13.804192038728447;0.765774;0.45946439999999994;11.57184931600932;0.0;0
30;SiLU: 6-68;[1, 240, 14, 14];0.77666;35.24052529200835;14.263656438728447;23.926643999999996;0;13.804192038728447;0.765774;0.45946439999999994;10.548107292008353;0.0;0
