No.;Layer;Output Size;Accuracy;Latency [ms];Energy [mJ];Sensor Latency;Sensor Latency IQR;Sensor Energy;Link Latency;Link Energy;Edge Latency;Edge Latency IQR;Edge Energy
1;Identity;(1, 3, 224, 224);0.7755127;21.404734578180744;1.4701716;0;0;0;2.450286;1.4701716;18.954448578180745;0.0;0
2;Conv2d: 3-1;[1, 32, 112, 112];0.7751465;26.162099911891403;4.020559125465692;0.225792;0;0.10013152546569144;6.534046;3.9204276;19.4022619118914;0.0;0
3;BatchNorm2d: 3-2;[1, 32, 112, 112];0.77941895;26.408301635938244;4.020559125465692;0.225792;0;0.10013152546569144;6.534046;3.9204276;19.648463635938242;0.0;0
4;SiLU: 3-3;[1, 32, 112, 112];0.774292;26.68774475791912;4.020559125465692;0.225792;0;0.10013152546569144;6.534046;3.9204276;19.927906757919118;0.0;0
5;Conv2d: 6-1;[1, 32, 112, 112];0.77697754;26.314427369984745;4.5678322875758175;1.12896;0;0.6474046875758173;6.534046;3.9204276;18.651421369984746;0.0;0
6;BatchNorm2d: 6-2;[1, 32, 112, 112];0.7713623;26.34093395994319;4.5678322875758175;1.12896;0;0.6474046875758173;6.534046;3.9204276;18.67792795994319;0.0;0
7;SiLU: 6-3;[1, 32, 112, 112];0.77526855;27.91948262184201;4.5678322875758175;1.12896;0;0.6474046875758173;6.534046;3.9204276;20.256476621842012;0.0;0
8;SqueezeExcitation: 5-2;[1, 32, 112, 112];0.779541;27.592080095997304;4.567889678101778;1.128964;0;0.6474620781017779;6.534046;3.9204276;19.929070095997304;0.0;0
9;Conv2d: 6-9;[1, 16, 112, 112];0.7788086;23.088007760046676;2.691355271323194;1.17914;0;0.7311324713231938;3.267038;1.9602228;18.641829760046676;0.0;0
10;BatchNorm2d: 6-10;[1, 16, 112, 112];0.78222656;22.66938931802164;2.691355271323194;1.17914;0;0.7311324713231938;3.267038;1.9602228;18.22321131802164;0.0;0
11;Conv2d: 6-11;[1, 96, 112, 112];0;20.931330000000006;12.693851440586165;1.329668;0;0.9328542405861615;19.601662000000005;11.760997200000004;0;0;0
12;BatchNorm2d: 6-12;[1, 96, 112, 112];0;20.931330000000006;12.693851440586165;1.329668;0;0.9328542405861615;19.601662000000005;11.760997200000004;0;0;0
13;SiLU: 6-13;[1, 96, 112, 112];0;20.931330000000006;12.693851440586165;1.329668;0;0.9328542405861615;19.601662000000005;11.760997200000004;0;0;0
