No.;Partitioning Point;Layer;Latency [ms];Energy [mJ]
1;Conv2d: 3-1;Conv2d: 3-1;0.225792;0.10013152546569144
2;Conv2d: 6-1;Conv2d: 6-1;0.903168;0.5472731621101258
3;SqueezeExcitation: 5-2;Conv2d: 6-5;2.0000000000000003e-06;2.869526298030151e-05
4;SqueezeExcitation: 5-2;Conv2d: 6-7;2.0000000000000003e-06;2.869526298030151e-05
5;Conv2d: 6-9;Conv2d: 6-9;0.050176000000000005;0.08367039322141588
6;Conv2d: 6-11;Conv2d: 6-11;0.150528;0.20172176926296764
7;Conv2d: 6-14;Conv2d: 6-14;2.0321279999999997;1.5111459289361107
8;SqueezeExcitation: 5-6;Conv2d: 6-18;4.000000000000001e-06;3.9573453680603016e-05
9;SqueezeExcitation: 5-6;Conv2d: 6-20;4.000000000000001e-06;3.9604843680603016e-05
10;Conv2d: 6-22;Conv2d: 6-22;0.056448;0.07268995701337085
11;MBConv: 3-6;Conv2d: 6-24;0.112896;0.0972659183179417
12;MBConv: 3-6;Conv2d: 6-27;6.096384;3.0860489685086123
13;MBConv: 3-6;Conv2d: 6-31;1.2e-05;8.331201064180904e-05
14;MBConv: 3-6;Conv2d: 6-33;1.2e-05;8.557601016180904e-05
15;MBConv: 3-6;Conv2d: 6-35;0.112896;0.0984820539077017
16;Conv2d: 6-37;Conv2d: 6-37;0.112896;0.0972659183179417
17;Conv2d: 6-40;Conv2d: 6-40;4.2336;1.9174617843430726
18;SqueezeExcitation: 5-14;Conv2d: 6-44;1.2e-05;8.331201064180904e-05
19;SqueezeExcitation: 5-14;Conv2d: 6-46;1.2e-05;8.557601016180904e-05
20;Conv2d: 6-48;Conv2d: 6-48;0.037632;0.03699801870304723
21;MBConv: 3-8;Conv2d: 6-50;0.06272;0.05301463395129648
22;MBConv: 3-8;Conv2d: 6-53;8.82;4.818531619887648
23;MBConv: 3-8;Conv2d: 6-57;4e-05;0.00021938260320603016
24;MBConv: 3-8;Conv2d: 6-59;4e-05;0.00021195192740603016
25;MBConv: 3-8;Conv2d: 6-61;0.06272;0.058652307587296476
26;Conv2d: 6-63;Conv2d: 6-63;0.06272;0.05301463395129648
27;Conv2d: 6-66;Conv2d: 6-66;0.7938;0.969917765847368
28;SqueezeExcitation: 5-22;Conv2d: 6-70;4e-05;0.00021938260320603016
29;SqueezeExcitation: 5-22;Conv2d: 6-72;4e-05;0.00021195192740603016
30;Conv2d: 6-74;Conv2d: 6-74;0.0294;0.024127134594154373
31;MBConv: 3-10;Conv2d: 6-76;0.0588;0.04727095620854874
32;MBConv: 3-10;Conv2d: 6-79;3.1752;3.7828265149184324
33;MBConv: 3-10;Conv2d: 6-83;8e-05;0.0008020620942120603
34;MBConv: 3-10;Conv2d: 6-85;8e-05;0.0007979084218120603
35;MBConv: 3-10;Conv2d: 6-87;0.0588;0.047303241406948734
36;MBConv: 3-11;Conv2d: 6-89;0.0588;0.04727095620854874
37;MBConv: 3-11;Conv2d: 6-92;3.1752;3.7828265149184324
38;MBConv: 3-11;Conv2d: 6-96;8e-05;0.0008020620942120603
39;MBConv: 3-11;Conv2d: 6-98;8e-05;0.0007979084218120603
40;MBConv: 3-11;Conv2d: 6-100;0.0588;0.047303241406948734
41;Conv2d: 6-102;Conv2d: 6-102;0.0588;0.04727095620854874
42;Conv2d: 6-105;Conv2d: 6-105;8.82;10.587699798379912
43;SqueezeExcitation: 5-34;Conv2d: 6-109;8e-05;0.0008020620942120603
44;SqueezeExcitation: 5-34;Conv2d: 6-111;8e-05;0.0007979084218120603
