No.;Layer;Latency [ms];Energy [mJ]
1;/backbone/conv1/Conv;6.02112;0.8016771336140801
2;/backbone/layer1/layer1.0/conv1/Conv;1.00352;0.12544174862336
3;/backbone/layer1/layer1.0/conv2/Conv;6.02112;0.95231684258816
4;/backbone/layer1/layer1.0/conv3/Conv;4.01408;0.52194742419456
5;/backbone/layer1/layer1.0/downsample/downsample.0/Conv;4.01408;0.52194742419456
6;/backbone/layer1/layer1.1/conv1/Conv;4.01408;0.5425158290227201
7;/backbone/layer1/layer1.1/conv2/Conv;6.02112;0.95231684258816
8;/backbone/layer1/layer1.1/conv3/Conv;4.01408;0.52194742419456
9;/backbone/layer1/layer1.2/conv1/Conv;4.01408;0.5425158290227201
10;/backbone/layer1/layer1.2/conv2/Conv;6.02112;0.95231684258816
11;/backbone/layer1/layer1.2/conv3/Conv;4.01408;0.52194742419456
12;/backbone/layer2/layer2.0/conv1/Conv;8.02816;0.9507764894924801
13;/backbone/layer2/layer2.0/conv2/Conv;6.02112;1.20546319670784
14;/backbone/layer2/layer2.0/conv3/Conv;4.01408;0.57542843273216
15;/backbone/layer2/layer2.0/downsample/downsample.0/Conv;8.02816;1.1815026062335998
16;/backbone/layer2/layer2.1/conv1/Conv;4.01408;0.5816129328127999
17;/backbone/layer2/layer2.1/conv2/Conv;6.02112;1.1569155687936001
18;/backbone/layer2/layer2.1/conv3/Conv;4.01408;0.57542843273216
19;/backbone/layer2/layer2.2/conv1/Conv;4.01408;0.5816129328127999
20;/backbone/layer2/layer2.2/conv2/Conv;6.02112;1.1569155687936001
21;/backbone/layer2/layer2.2/conv3/Conv;4.01408;0.57542843273216
22;/backbone/layer2/layer2.3/conv1/Conv;4.01408;0.5816129328127999
23;/backbone/layer2/layer2.3/conv2/Conv;6.02112;1.1569155687936001
24;/backbone/layer2/layer2.3/conv3/Conv;4.01408;0.57542843273216
25;/backbone/layer3/layer3.0/conv1/Conv;8.02816;1.104297686016
26;/backbone/layer3/layer3.0/conv2/Conv;24.08448;4.50781655281664
27;/backbone/layer3/layer3.0/conv3/Conv;16.05632;2.2767175208959998
28;/backbone/layer3/layer3.0/downsample/downsample.0/Conv;32.11264;4.45126520143872
29;/backbone/layer3/layer3.1/conv1/Conv;16.05632;2.18325428228096
30;/backbone/layer3/layer3.1/conv2/Conv;24.08448;4.50781655281664
31;/backbone/layer3/layer3.1/conv3/Conv;16.05632;2.2767175208959998
32;/backbone/layer3/layer3.2/conv1/Conv;16.05632;2.18325428228096
33;/backbone/layer3/layer3.2/conv2/Conv;24.08448;4.50781655281664
34;/backbone/layer3/layer3.2/conv3/Conv;16.05632;2.2767175208959998
35;/backbone/layer3/layer3.3/conv1/Conv;16.05632;2.18325428228096
36;/backbone/layer3/layer3.3/conv2/Conv;24.08448;4.50781655281664
37;/backbone/layer3/layer3.3/conv3/Conv;16.05632;2.2767175208959998
38;/backbone/layer3/layer3.4/conv1/Conv;16.05632;2.18325428228096
39;/backbone/layer3/layer3.4/conv2/Conv;24.08448;4.50781655281664
40;/backbone/layer3/layer3.4/conv3/Conv;16.05632;2.2767175208959998
41;/backbone/layer3/layer3.5/conv1/Conv;16.05632;2.18325428228096
42;/backbone/layer3/layer3.5/conv2/Conv;24.08448;4.50781655281664
43;/backbone/layer3/layer3.5/conv3/Conv;16.05632;2.2767175208959998
44;/backbone/layer4/layer4.0/conv1/Conv;32.11264;4.459108460871679
45;/backbone/layer4/layer4.0/conv2/Conv;96.33792;17.79157476655104
46;/backbone/layer4/layer4.0/conv3/Conv;64.22528;9.773907989135358
47;/backbone/layer4/layer4.0/downsample/downsample.0/Conv;128.45056;17.482864765829117
48;/backbone/layer4/layer4.1/conv1/Conv;64.22528;8.86713200156672
49;/backbone/layer4/layer4.1/conv2/Conv;96.33792;17.79157476655104
50;/backbone/layer4/layer4.1/conv3/Conv;64.22528;9.773907989135358
51;/backbone/layer4/layer4.2/conv1/Conv;64.22528;8.86713200156672
52;/backbone/layer4/layer4.2/conv2/Conv;96.33792;17.79157476655104
53;/backbone/layer4/layer4.2/conv3/Conv;64.22528;9.773907989135358
54;/classifier/classifier.0/Conv;385.35168;71.01546074972158
55;/classifier/classifier.4/Conv;0.50176;0.15770313818448
56;/aux_classifier/aux_classifier.0/Conv;96.33792;17.95584705302528
57;/aux_classifier/aux_classifier.4/Conv;0.25088;0.07989920905680001
