No.;Layer;Latency [ms];Energy [mJ]
1;/backbone/conv1/Conv;3.07328;0.5776949204475289
2;/backbone/layer1/layer1.0/conv1/Conv;0.25088;0.09001687624251174
3;/backbone/layer1/layer1.0/conv2/Conv;2.25792;0.5053191692721736
4;/backbone/layer1/layer1.0/conv3/Conv;1.00352;0.307634397570367
5;/backbone/layer1/layer1.0/downsample/downsample.0/Conv;1.00352;0.307634397570367
6;/backbone/layer1/layer1.1/conv1/Conv;1.00352;0.3491507914803972
7;/backbone/layer1/layer1.1/conv2/Conv;2.25792;0.5053191692721736
8;/backbone/layer1/layer1.1/conv3/Conv;1.00352;0.307634397570367
9;/backbone/layer1/layer1.2/conv1/Conv;1.00352;0.3491507914803972
10;/backbone/layer1/layer1.2/conv2/Conv;2.25792;0.5053191692721736
11;/backbone/layer1/layer1.2/conv3/Conv;1.00352;0.307634397570367
12;/backbone/layer2/layer2.0/conv1/Conv;2.00704;0.6283907730945544
13;/backbone/layer2/layer2.0/conv2/Conv;2.25792;0.5515360314617093
14;/backbone/layer2/layer2.0/conv3/Conv;1.00352;0.3721108533945374
15;/backbone/layer2/layer2.0/downsample/downsample.0/Conv;2.00704;0.730799363445715
16;/backbone/layer2/layer2.1/conv1/Conv;1.00352;0.28660924307005753
17;/backbone/layer2/layer2.1/conv2/Conv;2.25792;0.5189216277837894
18;/backbone/layer2/layer2.1/conv3/Conv;1.00352;0.3721108533945374
19;/backbone/layer2/layer2.2/conv1/Conv;1.00352;0.28660924307005753
20;/backbone/layer2/layer2.2/conv2/Conv;2.25792;0.5189216277837894
21;/backbone/layer2/layer2.2/conv3/Conv;1.00352;0.3721108533945374
22;/backbone/layer2/layer2.3/conv1/Conv;1.00352;0.28660924307005753
23;/backbone/layer2/layer2.3/conv2/Conv;2.25792;0.5189216277837894
24;/backbone/layer2/layer2.3/conv3/Conv;1.00352;0.3721108533945374
25;/backbone/layer3/layer3.0/conv1/Conv;2.00704;0.543139522069715
26;/backbone/layer3/layer3.0/conv2/Conv;9.03168;2.0635500227946775
27;/backbone/layer3/layer3.0/conv3/Conv;4.01408;1.4104140268107899
28;/backbone/layer3/layer3.0/downsample/downsample.0/Conv;8.02816;2.77490569190894
29;/backbone/layer3/layer3.1/conv1/Conv;4.01408;1.4174333709848699
30;/backbone/layer3/layer3.1/conv2/Conv;9.03168;2.0635500227946775
31;/backbone/layer3/layer3.1/conv3/Conv;4.01408;1.4104140268107899
32;/backbone/layer3/layer3.2/conv1/Conv;4.01408;1.4174333709848699
33;/backbone/layer3/layer3.2/conv2/Conv;9.03168;2.0635500227946775
34;/backbone/layer3/layer3.2/conv3/Conv;4.01408;1.4104140268107899
35;/backbone/layer3/layer3.3/conv1/Conv;4.01408;1.4174333709848699
36;/backbone/layer3/layer3.3/conv2/Conv;9.03168;2.0635500227946775
37;/backbone/layer3/layer3.3/conv3/Conv;4.01408;1.4104140268107899
38;/backbone/layer3/layer3.4/conv1/Conv;4.01408;1.4174333709848699
39;/backbone/layer3/layer3.4/conv2/Conv;9.03168;2.0635500227946775
40;/backbone/layer3/layer3.4/conv3/Conv;4.01408;1.4104140268107899
41;/backbone/layer3/layer3.5/conv1/Conv;4.01408;1.4174333709848699
42;/backbone/layer3/layer3.5/conv2/Conv;9.03168;2.0635500227946775
43;/backbone/layer3/layer3.5/conv3/Conv;4.01408;1.4104140268107899
44;/backbone/layer4/layer4.0/conv1/Conv;8.02816;2.7649559321034993
45;/backbone/layer4/layer4.0/conv2/Conv;36.12672;8.229927114497748
46;/backbone/layer4/layer4.0/conv3/Conv;16.05632;5.48559733370844
47;/backbone/layer4/layer4.0/downsample/downsample.0/Conv;32.11264;10.850091298815281
48;/backbone/layer4/layer4.1/conv1/Conv;16.05632;5.51048092772316
49;/backbone/layer4/layer4.1/conv2/Conv;36.12672;8.229927114497748
50;/backbone/layer4/layer4.1/conv3/Conv;16.05632;5.48559733370844
51;/backbone/layer4/layer4.2/conv1/Conv;16.05632;5.51048092772316
52;/backbone/layer4/layer4.2/conv2/Conv;36.12672;8.229927114497748
53;/backbone/layer4/layer4.2/conv3/Conv;16.05632;5.48559733370844
54;/classifier/classifier.0/Conv;144.50688;32.846889527948115
55;/classifier/classifier.4/Conv;0.21952000000000002;0.09940196671941506
56;/aux_classifier/aux_classifier.0/Conv;36.12672;8.217790626157269
57;/aux_classifier/aux_classifier.4/Conv;0.10976000000000001;0.045106904869928445
