No.;Layer;Output Size;Accuracy;Latency [ms];Energy [mJ];Sensor Latency;Sensor Latency IQR;Sensor Energy;Link Latency;Link Energy;Edge Latency;Edge Latency IQR;Edge Energy
1;Identity;(1, 3, 224, 224);0.62446;23.540222858043073;1.4701716;0;0;0;2.450286;1.4701716;21.089936858043075;0.0;0
2;MaxPool2d: 1-5;[1, 192, 28, 28];0.47316;24.676068426085727;3.984734471327042;4.039168;0;2.514562871327042;2.450286;1.4701716;18.186614426085725;0.0;0
3;MaxPool2d: 1-8;[1, 480, 14, 14];0.46364;21.939592851822287;5.46149833230658;7.065408000000001;0;4.54258753230658;1.531518;0.9189108;13.342666851822287;0.0;0
4;Inception: 1-9;[1, 512, 14, 14];0.46682;20.623816926132754;5.911478128221572;7.685160000000001;0;4.931357728221572;1.633534;0.9801204;11.305122926132753;0.0;0
5;Inception: 1-10;[1, 512, 14, 14];0.42206;17.823035034016804;6.356833901573397;8.334312;0;5.376713501573398;1.633534;0.9801204;7.855189034016804;0.0;0
6;Inception: 1-11;[1, 512, 14, 14];0.3946;17.530907409858198;6.854050000863437;9.076760000000002;0;5.873929600863438;1.633534;0.9801204;6.820613409858197;0.0;0
7;Inception: 1-12;[1, 528, 14, 14];0.36916;16.59528236407109;7.462336488363881;9.952488000000002;0;6.451611288363882;1.684542;1.0107252;4.958252364071086;0.0;0
8;Inception: 1-13;[1, 832, 14, 14];0.33318;17.565243424166546;8.863925167010475;11.180232000000002;0;7.271209567010475;2.6545259999999997;1.5927155999999998;3.7304854241665453;0.0;0
9;MaxPool2d: 1-14;[1, 832, 7, 7];0.33318;15.164701853913964;7.669464367010475;11.180232000000002;0;7.271209567010475;0.6637580000000001;0.3982548;3.320711853913963;0.0;0
10;Inception: 1-15;[1, 832, 7, 7];0.29452;13.910329845943854;7.944228113657079;11.554200000000002;0;7.545973313657079;0.6637580000000001;0.3982548;1.6923718459438533;0.0;0
11;Inception: 1-16;[1, 1024, 7, 7];0.26992;13.001501891945184;8.408030896236747;12.068896;0;7.9179616962367465;0.816782;0.49006920000000004;0.11582389194518328;0.0;0
12;AdaptiveAvgPool2d: 1-17;[1, 1024, 1, 1];0.26992;12.17380488813317;7.928059696236747;12.068896;0;7.9179616962367465;0.016829999999999998;0.010098;0.08807888813316822;0.0;0
13;Linear: 1-19;[1, 1000];0.26992;12.087795538123519;7.927829296236746;12.068896;0;7.9179616962367465;0.016446000000000002;0.0098676;0.0024535381235182285;0.0;0
