No.;Layer;Latency [ms];Energy [mJ]
1;Conv_0;6.02112;0.8016771336140801
2;Conv_1;1.00352;0.12544174862336
3;Conv_2;12.04224;2.64896502549504
4;Conv_3;0.50176;0.12367449034752
5;Conv_4;0.50176;0.17306760457728
6;Conv_5;4.51584;0.8708291415219199
7;Conv_6;0.12544;0.04979825566464
8;Conv_7;0.18816;0.024032648949759997
9;Conv_8;0.25088;0.07442366722560001
10;Conv_9;2.00704;0.29714173884415995
11;Conv_10;2.00704;0.29714173884415995
12;Conv_11;6.02112;1.7087073583104
13;Conv_12;0.50176;0.09945827881472001
14;Conv_13;0.75264;0.22743980566271998
15;Conv_14;1.00352;0.1653527654912
16;Conv_15;0.5376;0.14641299211008
17;Conv_16;0.2688;0.07482072709247999
18;Conv_17;1.04832;0.22066609513408
19;Conv_18;0.0448;0.024439527582079998
20;Conv_19;0.04032;0.00993172237568
21;Conv_20;0.1792;0.05472892863744001
22;Conv_21;0.5734400000000001;0.1456113537472
23;Conv_22;0.50176;0.09705887742655998
24;Conv_23;1.31712;0.27600681169152
25;Conv_24;0.07168000000000001;0.03288890603616
26;Conv_25;0.08064;0.0189007389184
27;Conv_26;0.28672000000000003;0.06177594920192
28;Conv_27;0.5734400000000001;0.10881985350144
29;Conv_28;0.5734400000000001;0.10881985350144
30;Conv_29;1.72032;0.35891363660799996
31;Conv_30;0.07168000000000001;0.03288890603616
32;Conv_31;0.08064;0.0189007389184
33;Conv_32;0.28672000000000003;0.06177594920192
34;Conv_33;0.50176;0.09705887742655998
35;Conv_34;0.43008;0.1178793859744
36;Conv_35;2.17728;0.45268978162176
37;Conv_36;0.14336000000000002;0.038273719481599994
38;Conv_37;0.10752;0.02451248856832
39;Conv_38;0.28672000000000003;0.06177594920192
40;Conv_39;0.7884800000000001;0.19303471917696
41;Conv_40;0.49280000000000007;0.1299983696736
42;Conv_41;2.6879999999999997;0.5609191693184
43;Conv_42;0.09856000000000001;0.03742270853952
44;Conv_43;0.21504;0.04782236122624
45;Conv_44;0.39424000000000003;0.10411357024128
46;Conv_45;0.46592;0.11077713817087999
47;Conv_46;0.23296;0.07129112690079999
48;Conv_47;0.6719999999999999;0.18525906627359998
49;Conv_48;0.05824;0.017364921921919997
50;Conv_49;0.05376;0.01543146179136
51;Conv_50;0.23296;0.053044479269119996
52;Conv_51;0.46592;0.16241758294912
53;Conv_52;0.23296;0.07581859459648001
54;Conv_53;0.96768;0.2705265282048
55;Conv_54;0.05824;0.0238500603048
56;Conv_55;0.08064;0.0227543845712
57;Conv_56;0.23296;0.053044479269119996
