No.;Partitioning Point;Layer;Latency [ms];Energy [mJ]
1;BasicConv2d: 1-1;Conv2d: 2-1;1.229312;0.5776949204475289
2;BasicConv2d: 1-3;Conv2d: 2-3;0.10035200000000001;0.09001687624251174
3;BasicConv2d: 1-4;Conv2d: 2-5;2.7095040000000004;1.846851074637001
4;Inception: 1-6;Conv2d: 3-1;0.075264;0.06999827902731577
5;Inception: 1-6;Conv2d: 4-1;0.112896;0.10754133129809366
6;Inception: 1-6;Conv2d: 4-3;0.6773760000000001;0.390708281880402
7;Inception: 1-6;Conv2d: 4-5;0.018816;0.023895793396508942
8;Inception: 1-6;Conv2d: 4-7;0.028224;0.018071687438125424
9;Inception: 1-6;Conv2d: 4-9;0.037632;0.03889224991301789
10;Inception: 1-7;Conv2d: 3-9;0.20070400000000002;0.18463932934942875
11;Inception: 1-7;Conv2d: 4-11;0.20070400000000002;0.18463932934942875
12;Inception: 1-7;Conv2d: 4-13;1.3547520000000002;0.7783824416756839
13;Inception: 1-7;Conv2d: 4-15;0.050176000000000005;0.05138427148231718
14;Inception: 1-7;Conv2d: 4-17;0.16934400000000002;0.0988073742497005
15;Inception: 1-7;Conv2d: 4-19;0.10035200000000001;0.08106429191951436
16;Inception: 1-9;Conv2d: 3-17;0.14112;0.10272802060883698
17;Inception: 1-9;Conv2d: 4-21;0.07056;0.054720989904658485
18;Inception: 1-9;Conv2d: 4-23;0.33868800000000004;0.16922297299071276
19;Inception: 1-9;Conv2d: 4-25;0.01176;0.016544069383069748
20;Inception: 1-9;Conv2d: 4-27;0.010584000000000001;0.007384632070634773
21;Inception: 1-9;Conv2d: 4-29;0.04704;0.038169510957078996
22;Inception: 1-10;Conv2d: 3-25;0.12544;0.09395369458277064
23;Inception: 1-10;Conv2d: 4-31;0.087808;0.06620533170477146
24;Inception: 1-10;Conv2d: 4-33;0.345744;0.21029109355876258
25;Inception: 1-10;Conv2d: 4-35;0.018816;0.020185433837639596
26;Inception: 1-10;Conv2d: 4-37;0.021168000000000003;0.014338913778069546
27;Inception: 1-10;Conv2d: 4-39;0.050176000000000005;0.04038130588981226
28;Inception: 1-11;Conv2d: 3-33;0.10035200000000001;0.07389235310826452
29;Inception: 1-11;Conv2d: 4-41;0.10035200000000001;0.07389235310826452
30;Inception: 1-11;Conv2d: 4-43;0.451584;0.2745257395679903
31;Inception: 1-11;Conv2d: 4-45;0.018816;0.020185433837639596
32;Inception: 1-11;Conv2d: 4-47;0.021168000000000003;0.014338913778069546
33;Inception: 1-11;Conv2d: 4-49;0.050176000000000005;0.04038130588981226
34;Inception: 1-12;Conv2d: 3-41;0.087808;0.06620533170477146
35;Inception: 1-12;Conv2d: 4-51;0.112896;0.08157937451175758
36;Inception: 1-12;Conv2d: 4-53;0.5715359999999999;0.34730865088099777
37;Inception: 1-12;Conv2d: 4-55;0.025088000000000003;0.02400096137242613
38;Inception: 1-12;Conv2d: 4-57;0.028224;0.018206063140679397
39;Inception: 1-12;Conv2d: 4-59;0.050176000000000005;0.04038130588981226
40;Inception: 1-13;Conv2d: 3-49;0.206976;0.14870338318463558
41;Inception: 1-13;Conv2d: 4-61;0.12936;0.09758962923480724
42;Inception: 1-13;Conv2d: 4-63;0.7056;0.43325431879858495
43;Inception: 1-13;Conv2d: 4-65;0.025872;0.028520673049809445
44;Inception: 1-13;Conv2d: 4-67;0.056448;0.03579826987175879
45;Inception: 1-13;Conv2d: 4-69;0.103488;0.07573200450699778
46;Inception: 1-15;Conv2d: 3-57;0.081536;0.06014484784363135
47;Inception: 1-15;Conv2d: 4-71;0.05096;0.038922130829999596
48;Inception: 1-15;Conv2d: 4-73;0.1764;0.12286131019912784
49;Inception: 1-15;Conv2d: 4-75;0.010192;0.01062517481182392
50;Inception: 1-15;Conv2d: 4-77;0.014112;0.010362391136565426
51;Inception: 1-15;Conv2d: 4-79;0.040768;0.03184789182545568
52;Inception: 1-16;Conv2d: 3-65;0.122304;0.08844180386180703
53;Inception: 1-16;Conv2d: 4-81;0.061152;0.04599636983454351
54;Inception: 1-16;Conv2d: 4-83;0.25401599999999996;0.17613853158665768
55;Inception: 1-16;Conv2d: 4-85;0.015288;0.01416247709989588
56;Inception: 1-16;Conv2d: 4-87;0.021168000000000003;0.015401308371308143
57;Inception: 1-16;Conv2d: 4-89;0.040768;0.03184789182545568
