No.;Layer;Latency [ms];Energy [mJ]
1;/conv1/conv/Conv;3.07328;0.5776949204475289
2;/conv2/conv/Conv;0.25088;0.09001687624251174
3;/conv3/conv/Conv;6.77376;1.846851074637001
4;/inception3a/branch1/conv/Conv;0.18816;0.06999827902731577
5;/inception3a/branch2/branch2.0/conv/Conv;0.28224;0.10754133129809366
6;/inception3a/branch2/branch2.1/conv/Conv;1.69344;0.390708281880402
7;/inception3a/branch3/branch3.0/conv/Conv;0.04704;0.023895793396508942
8;/inception3a/branch3/branch3.1/conv/Conv;0.07056;0.018071687438125424
9;/inception3a/branch4/branch4.1/conv/Conv;0.09408;0.03889224991301789
10;/inception3b/branch1/conv/Conv;0.50176;0.18463932934942875
11;/inception3b/branch2/branch2.0/conv/Conv;0.50176;0.18463932934942875
12;/inception3b/branch2/branch2.1/conv/Conv;3.38688;0.7783824416756839
13;/inception3b/branch3/branch3.0/conv/Conv;0.12544;0.05138427148231718
14;/inception3b/branch3/branch3.1/conv/Conv;0.42336;0.0988073742497005
15;/inception3b/branch4/branch4.1/conv/Conv;0.25088;0.08106429191951436
16;/inception4a/branch1/conv/Conv;0.3528;0.10272802060883698
17;/inception4a/branch2/branch2.0/conv/Conv;0.1764;0.054720989904658485
18;/inception4a/branch2/branch2.1/conv/Conv;0.84672;0.16922297299071276
19;/inception4a/branch3/branch3.0/conv/Conv;0.0294;0.016544069383069748
20;/inception4a/branch3/branch3.1/conv/Conv;0.02646;0.007384632070634773
21;/inception4a/branch4/branch4.1/conv/Conv;0.1176;0.038169510957078996
22;/inception4b/branch1/conv/Conv;0.3136;0.09395369458277064
23;/inception4b/branch2/branch2.0/conv/Conv;0.21952000000000002;0.06620533170477146
24;/inception4b/branch2/branch2.1/conv/Conv;0.86436;0.21029109355876258
25;/inception4b/branch3/branch3.0/conv/Conv;0.04704;0.020185433837639596
26;/inception4b/branch3/branch3.1/conv/Conv;0.05292;0.014338913778069546
27;/inception4b/branch4/branch4.1/conv/Conv;0.12544;0.04038130588981226
28;/inception4c/branch1/conv/Conv;0.25088;0.07389235310826452
29;/inception4c/branch2/branch2.0/conv/Conv;0.25088;0.07389235310826452
30;/inception4c/branch2/branch2.1/conv/Conv;1.12896;0.2745257395679903
31;/inception4c/branch3/branch3.0/conv/Conv;0.04704;0.020185433837639596
32;/inception4c/branch3/branch3.1/conv/Conv;0.05292;0.014338913778069546
33;/inception4c/branch4/branch4.1/conv/Conv;0.12544;0.04038130588981226
34;/inception4d/branch1/conv/Conv;0.21952000000000002;0.06620533170477146
35;/inception4d/branch2/branch2.0/conv/Conv;0.28224;0.08157937451175758
36;/inception4d/branch2/branch2.1/conv/Conv;1.42884;0.34730865088099777
37;/inception4d/branch3/branch3.0/conv/Conv;0.06272;0.02400096137242613
38;/inception4d/branch3/branch3.1/conv/Conv;0.07056;0.018206063140679397
39;/inception4d/branch4/branch4.1/conv/Conv;0.12544;0.04038130588981226
40;/inception4e/branch1/conv/Conv;0.51744;0.14870338318463558
41;/inception4e/branch2/branch2.0/conv/Conv;0.3234;0.09758962923480724
42;/inception4e/branch2/branch2.1/conv/Conv;1.764;0.43325431879858495
43;/inception4e/branch3/branch3.0/conv/Conv;0.06468;0.028520673049809445
44;/inception4e/branch3/branch3.1/conv/Conv;0.14112;0.03579826987175879
45;/inception4e/branch4/branch4.1/conv/Conv;0.25872;0.07573200450699778
46;/inception5a/branch1/conv/Conv;0.20384;0.06014484784363135
47;/inception5a/branch2/branch2.0/conv/Conv;0.1274;0.038922130829999596
48;/inception5a/branch2/branch2.1/conv/Conv;0.441;0.12286131019912784
49;/inception5a/branch3/branch3.0/conv/Conv;0.02548;0.01062517481182392
50;/inception5a/branch3/branch3.1/conv/Conv;0.03528;0.010362391136565426
51;/inception5a/branch4/branch4.1/conv/Conv;0.10192;0.03184789182545568
52;/inception5b/branch1/conv/Conv;0.30576000000000003;0.08844180386180703
53;/inception5b/branch2/branch2.0/conv/Conv;0.15288000000000002;0.04599636983454351
54;/inception5b/branch2/branch2.1/conv/Conv;0.63504;0.17613853158665768
55;/inception5b/branch3/branch3.0/conv/Conv;0.038220000000000004;0.01416247709989588
56;/inception5b/branch3/branch3.1/conv/Conv;0.05292;0.015401308371308143
57;/inception5b/branch4/branch4.1/conv/Conv;0.10192;0.03184789182545568
