No.;Layer;Latency [ms];Energy [mJ]
1;/conv1/conv/Conv;3.07328;0.6349627929510774
2;/conv2/conv/Conv;0.25088;0.09754813407247435
3;/conv3/conv/Conv;6.77376;1.921867589748808
4;/inception3a/branch1/conv/Conv;0.18816;0.0652102296873423
5;/inception3a/branch2/branch2.0/conv/Conv;0.28224;0.09814961201039757
6;/inception3a/branch2/branch2.1/conv/Conv;1.69344;0.453307555008402
7;/inception3a/branch3/branch3.0/conv/Conv;0.04704;0.024370935326428943
8;/inception3a/branch3/branch3.1/conv/Conv;0.07056;0.01951979015912643
9;/inception3a/branch4/branch4.1/conv/Conv;0.09408;0.04092081152286552
10;/inception3b/branch1/conv/Conv;0.50176;0.1572801620197628
11;/inception3b/branch2/branch2.0/conv/Conv;0.50176;0.1572801620197628
12;/inception3b/branch2/branch2.1/conv/Conv;3.38688;0.910075149247479
13;/inception3b/branch3/branch3.0/conv/Conv;0.12544;0.04834808756693226
14;/inception3b/branch3/branch3.1/conv/Conv;0.42336;0.10935642866375639
15;/inception3b/branch4/branch4.1/conv/Conv;0.25088;0.08591551665490975
16;/inception4a/branch1/conv/Conv;0.37632;0.11269252978575676
17;/inception4a/branch2/branch2.0/conv/Conv;0.1764;0.06645834310430714
18;/inception4a/branch2/branch2.1/conv/Conv;0.68796;0.18231278498835418
19;/inception4a/branch3/branch3.0/conv/Conv;0.03136;0.016301666725013063
20;/inception4a/branch3/branch3.1/conv/Conv;0.02646;0.008614468222591758
21;/inception4a/branch4/branch4.1/conv/Conv;0.1176;0.04413813695493226
22;/inception4b/branch1/conv/Conv;0.3136;0.09414509575707176
23;/inception4b/branch2/branch2.0/conv/Conv;0.21952000000000002;0.06850004215133146
24;/inception4b/branch2/branch2.1/conv/Conv;0.86436;0.22485711698380703
25;/inception4b/branch3/branch3.0/conv/Conv;0.04704;0.022905746415279597
26;/inception4b/branch3/branch3.1/conv/Conv;0.05292;0.015996931403669548
27;/inception4b/branch4/branch4.1/conv/Conv;0.12544;0.0407243343900607
28;/inception4c/branch1/conv/Conv;0.25088;0.0766697757062014
29;/inception4c/branch2/branch2.0/conv/Conv;0.25088;0.0766697757062014
30;/inception4c/branch2/branch2.1/conv/Conv;1.12896;0.30207895120069467
31;/inception4c/branch3/branch3.0/conv/Conv;0.04704;0.022905746415279597
32;/inception4c/branch3/branch3.1/conv/Conv;0.05292;0.015996931403669548
33;/inception4c/branch4/branch4.1/conv/Conv;0.12544;0.0407243343900607
34;/inception4d/branch1/conv/Conv;0.21952000000000002;0.06850004215133146
35;/inception4d/branch2/branch2.0/conv/Conv;0.28224;0.09303354381175757
36;/inception4d/branch2/branch2.1/conv/Conv;1.42884;0.3830363065922002
37;/inception4d/branch3/branch3.0/conv/Conv;0.06272;0.02612015467839035
38;/inception4d/branch3/branch3.1/conv/Conv;0.07056;0.020992035317959394
39;/inception4d/branch4/branch4.1/conv/Conv;0.12544;0.0407243343900607
40;/inception4e/branch1/conv/Conv;0.51744;0.1686166654837556
41;/inception4e/branch2/branch2.0/conv/Conv;0.34496;0.11001203918141306
42;/inception4e/branch2/branch2.1/conv/Conv;1.764;0.49462718238892867
43;/inception4e/branch3/branch3.0/conv/Conv;0.06468;0.030664755108529444
44;/inception4e/branch3/branch3.1/conv/Conv;0.14112;0.03801334774413829
45;/inception4e/branch4/branch4.1/conv/Conv;0.25872;0.0790142043148402
46;/inception5a/branch1/conv/Conv;0.20384;0.06311514190155135
47;/inception5a/branch2/branch2.0/conv/Conv;0.1274;0.04133609804595959
48;/inception5a/branch2/branch2.1/conv/Conv;0.441;0.13085340304352786
49;/inception5a/branch3/branch3.0/conv/Conv;0.02548;0.01099646156906392
50;/inception5a/branch3/branch3.1/conv/Conv;0.03528;0.011343419921765427
51;/inception5a/branch4/branch4.1/conv/Conv;0.10192;0.033877962804495676
52;/inception5b/branch1/conv/Conv;0.30576000000000003;0.09354304473620703
53;/inception5b/branch2/branch2.0/conv/Conv;0.15288000000000002;0.04879423328742352
54;/inception5b/branch2/branch2.1/conv/Conv;0.63504;0.18950169536817768
55;/inception5b/branch3/branch3.0/conv/Conv;0.038220000000000004;0.01471931584285588
56;/inception5b/branch3/branch3.1/conv/Conv;0.05292;0.01654551079450814
57;/inception5b/branch4/branch4.1/conv/Conv;0.10192;0.033877962804495676
58;/fc/Gemm;0.02;0.08135201173816603
