No.;Layer;Latency [ms];Energy [mJ]
1;/stem/stem.0/Conv;0.38988;0.14768163685972
2;/trunk_output/block1/block1-0/proj/proj.0/Conv;0.25992000000000004;0.06478302411615999
3;/trunk_output/block1/block1-0/f/a/a.0/Conv;1.0396800000000002;0.198753541216
4;/trunk_output/block1/block1-0/f/b/b.0/Conv;1.55952;0.33017713036992
5;/trunk_output/block1/block1-0/f/c/c.0/Conv;0.25992000000000004;0.04978790698336
6;/trunk_output/block2/block2-0/proj/proj.0/Conv;0.13456;0.025285827762880003
7;/trunk_output/block2/block2-0/f/a/a.0/Conv;0.5198400000000001;0.08218921309663998
8;/trunk_output/block2/block2-0/f/b/b.0/Conv;1.6147200000000002;0.34915156292096
9;/trunk_output/block2/block2-0/f/c/c.0/Conv;0.26912;0.03402890814656
10;/trunk_output/block2/block2-1/f/a/a.0/Conv;0.26912;0.03402890814656
11;/trunk_output/block2/block2-1/f/b/b.0/Conv;1.6147200000000002;0.32307968867071996
12;/trunk_output/block2/block2-1/f/c/c.0/Conv;0.26912;0.03402890814656
13;/trunk_output/block3/block3-0/proj/proj.0/Conv;0.14400000000000002;0.0220997367328
14;/trunk_output/block3/block3-0/f/a/a.0/Conv;0.53824;0.0715962034336
15;/trunk_output/block3/block3-0/f/b/b.0/Conv;2.16;0.738830412
16;/trunk_output/block3/block3-0/f/c/c.0/Conv;0.28800000000000003;0.08925191807999999
17;/trunk_output/block3/block3-1/f/a/a.0/Conv;0.28800000000000003;0.08925191807999999
18;/trunk_output/block3/block3-1/f/b/b.0/Conv;2.16;0.72192595464
19;/trunk_output/block3/block3-1/f/c/c.0/Conv;0.28800000000000003;0.08925191807999999
20;/trunk_output/block3/block3-2/f/a/a.0/Conv;0.28800000000000003;0.08925191807999999
21;/trunk_output/block3/block3-2/f/b/b.0/Conv;2.16;0.72192595464
22;/trunk_output/block3/block3-2/f/c/c.0/Conv;0.28800000000000003;0.08925191807999999
23;/trunk_output/block3/block3-3/f/a/a.0/Conv;0.28800000000000003;0.08925191807999999
24;/trunk_output/block3/block3-3/f/b/b.0/Conv;2.16;0.72192595464
25;/trunk_output/block3/block3-3/f/c/c.0/Conv;0.28800000000000003;0.08925191807999999
26;/trunk_output/block3/block3-4/f/a/a.0/Conv;0.28800000000000003;0.08925191807999999
27;/trunk_output/block3/block3-4/f/b/b.0/Conv;2.16;0.72192595464
28;/trunk_output/block3/block3-4/f/c/c.0/Conv;0.28800000000000003;0.08925191807999999
29;/trunk_output/block3/block3-5/f/a/a.0/Conv;0.28800000000000003;0.08925191807999999
30;/trunk_output/block3/block3-5/f/b/b.0/Conv;2.16;0.72192595464
31;/trunk_output/block3/block3-5/f/c/c.0/Conv;0.28800000000000003;0.08925191807999999
32;/trunk_output/block3/block3-6/f/a/a.0/Conv;0.28800000000000003;0.08925191807999999
33;/trunk_output/block3/block3-6/f/b/b.0/Conv;2.16;0.72192595464
34;/trunk_output/block3/block3-6/f/c/c.0/Conv;0.28800000000000003;0.08925191807999999
35;/trunk_output/block4/block4-0/proj/proj.0/Conv;0.256;0.04288379528
36;/trunk_output/block4/block4-0/f/a/a.0/Conv;0.7200000000000001;0.2346679005
37;/trunk_output/block4/block4-0/f/b/b.0/Conv;4.8;0.742095394984
38;/trunk_output/block4/block4-0/f/c/c.0/Conv;0.64;0.097761334784
39;/trunk_output/block4/block4-1/f/a/a.0/Conv;0.64;0.097761334784
40;/trunk_output/block4/block4-1/f/b/b.0/Conv;4.8;0.6994594536639999
41;/trunk_output/block4/block4-1/f/c/c.0/Conv;0.64;0.097761334784
42;/trunk_output/block4/block4-2/f/a/a.0/Conv;0.64;0.097761334784
43;/trunk_output/block4/block4-2/f/b/b.0/Conv;4.8;0.6994594536639999
44;/trunk_output/block4/block4-2/f/c/c.0/Conv;0.64;0.097761334784
45;/trunk_output/block4/block4-3/f/a/a.0/Conv;0.64;0.097761334784
