No.;Layer;Latency [ms];Energy [mJ]
1;/stem/stem.0/Conv;0.58482;0.10372390116000745
2;/trunk_output/block1/block1-0/proj/proj.0/Conv;0.06498000000000001;0.045317810551233566
3;/trunk_output/block1/block1-0/f/a/a.0/Conv;0.25992000000000004;0.13194673635310553
4;/trunk_output/block1/block1-0/f/b/b.0/Conv;0.58482;0.1774056372801421
5;/trunk_output/block1/block1-0/f/c/c.0/Conv;0.06498000000000001;0.033716473561473566
6;/trunk_output/block2/block2-0/proj/proj.0/Conv;0.03364;0.017609402760369246
7;/trunk_output/block2/block2-0/f/a/a.0/Conv;0.12996000000000002;0.05964224604954713
8;/trunk_output/block2/block2-0/f/b/b.0/Conv;0.6055200000000001;0.15786190433320643
9;/trunk_output/block2/block2-0/f/c/c.0/Conv;0.06728;0.02473972675865849
10;/trunk_output/block2/block2-1/f/a/a.0/Conv;0.06728;0.02473972675865849
11;/trunk_output/block2/block2-1/f/b/b.0/Conv;0.6055200000000001;0.14356952012504642
12;/trunk_output/block2/block2-1/f/c/c.0/Conv;0.06728;0.02473972675865849
13;/trunk_output/block3/block3-0/proj/proj.0/Conv;0.045000000000000005;0.020076880727047233
14;/trunk_output/block3/block3-0/f/a/a.0/Conv;0.1682;0.06767808454284623
15;/trunk_output/block3/block3-0/f/b/b.0/Conv;1.0125;0.26562560389976275
16;/trunk_output/block3/block3-0/f/c/c.0/Conv;0.1125;0.034905270026618085
17;/trunk_output/block3/block3-1/f/a/a.0/Conv;0.1125;0.034905270026618085
18;/trunk_output/block3/block3-1/f/b/b.0/Conv;1.0125;0.24339132626936277
19;/trunk_output/block3/block3-1/f/c/c.0/Conv;0.1125;0.034905270026618085
20;/trunk_output/block3/block3-2/f/a/a.0/Conv;0.1125;0.034905270026618085
21;/trunk_output/block3/block3-2/f/b/b.0/Conv;1.0125;0.24339132626936277
22;/trunk_output/block3/block3-2/f/c/c.0/Conv;0.1125;0.034905270026618085
23;/trunk_output/block3/block3-3/f/a/a.0/Conv;0.1125;0.034905270026618085
24;/trunk_output/block3/block3-3/f/b/b.0/Conv;1.0125;0.24339132626936277
25;/trunk_output/block3/block3-3/f/c/c.0/Conv;0.1125;0.034905270026618085
26;/trunk_output/block3/block3-4/f/a/a.0/Conv;0.1125;0.034905270026618085
27;/trunk_output/block3/block3-4/f/b/b.0/Conv;1.0125;0.24339132626936277
28;/trunk_output/block3/block3-4/f/c/c.0/Conv;0.1125;0.034905270026618085
29;/trunk_output/block3/block3-5/f/a/a.0/Conv;0.1125;0.034905270026618085
30;/trunk_output/block3/block3-5/f/b/b.0/Conv;1.0125;0.24339132626936277
31;/trunk_output/block3/block3-5/f/c/c.0/Conv;0.1125;0.034905270026618085
32;/trunk_output/block3/block3-6/f/a/a.0/Conv;0.1125;0.034905270026618085
33;/trunk_output/block3/block3-6/f/b/b.0/Conv;1.0125;0.24339132626936277
34;/trunk_output/block3/block3-6/f/c/c.0/Conv;0.1125;0.034905270026618085
35;/trunk_output/block4/block4-0/proj/proj.0/Conv;0.08;0.02587046007870975
36;/trunk_output/block4/block4-0/f/a/a.0/Conv;0.28125;0.08349890681484522
37;/trunk_output/block4/block4-0/f/b/b.0/Conv;1.8;0.4759927463311893
38;/trunk_output/block4/block4-0/f/c/c.0/Conv;0.2;0.05601234733063437
39;/trunk_output/block4/block4-1/f/a/a.0/Conv;0.2;0.05601234733063437
40;/trunk_output/block4/block4-1/f/b/b.0/Conv;1.8;0.46665315241562927
41;/trunk_output/block4/block4-1/f/c/c.0/Conv;0.2;0.05601234733063437
42;/trunk_output/block4/block4-2/f/a/a.0/Conv;0.2;0.05601234733063437
43;/trunk_output/block4/block4-2/f/b/b.0/Conv;1.8;0.46665315241562927
44;/trunk_output/block4/block4-2/f/c/c.0/Conv;0.2;0.05601234733063437
45;/trunk_output/block4/block4-3/f/a/a.0/Conv;0.2;0.05601234733063437
46;/trunk_output/block4/block4-3/f/b/b.0/Conv;1.8;0.46665315241562927
47;/trunk_output/block4/block4-3/f/c/c.0/Conv;0.2;0.05601234733063437
48;/trunk_output/block4/block4-4/f/a/a.0/Conv;0.2;0.05601234733063437
49;/trunk_output/block4/block4-4/f/b/b.0/Conv;1.8;0.46665315241562927
50;/trunk_output/block4/block4-4/f/c/c.0/Conv;0.2;0.05601234733063437
51;/trunk_output/block4/block4-5/f/a/a.0/Conv;0.2;0.05601234733063437
52;/trunk_output/block4/block4-5/f/b/b.0/Conv;1.8;0.46665315241562927
53;/trunk_output/block4/block4-5/f/c/c.0/Conv;0.2;0.05601234733063437
54;/trunk_output/block4/block4-6/f/a/a.0/Conv;0.2;0.05601234733063437
55;/trunk_output/block4/block4-6/f/b/b.0/Conv;1.8;0.46665315241562927
56;/trunk_output/block4/block4-6/f/c/c.0/Conv;0.2;0.05601234733063437
57;/trunk_output/block4/block4-7/f/a/a.0/Conv;0.2;0.05601234733063437
58;/trunk_output/block4/block4-7/f/b/b.0/Conv;1.8;0.46665315241562927
59;/trunk_output/block4/block4-7/f/c/c.0/Conv;0.2;0.05601234733063437
60;/trunk_output/block4/block4-8/f/a/a.0/Conv;0.2;0.05601234733063437
61;/trunk_output/block4/block4-8/f/b/b.0/Conv;1.8;0.46665315241562927
62;/trunk_output/block4/block4-8/f/c/c.0/Conv;0.2;0.05601234733063437
63;/trunk_output/block4/block4-9/f/a/a.0/Conv;0.2;0.05601234733063437
64;/trunk_output/block4/block4-9/f/b/b.0/Conv;1.8;0.46665315241562927
65;/trunk_output/block4/block4-9/f/c/c.0/Conv;0.2;0.05601234733063437
66;/trunk_output/block4/block4-10/f/a/a.0/Conv;0.2;0.05601234733063437
67;/trunk_output/block4/block4-10/f/b/b.0/Conv;1.8;0.46665315241562927
68;/trunk_output/block4/block4-10/f/c/c.0/Conv;0.2;0.05601234733063437
69;/trunk_output/block4/block4-11/f/a/a.0/Conv;0.2;0.05601234733063437
70;/trunk_output/block4/block4-11/f/b/b.0/Conv;1.8;0.46665315241562927
71;/trunk_output/block4/block4-11/f/c/c.0/Conv;0.2;0.05601234733063437
