No.;Layer;Output Size;Accuracy;Latency [ms];Energy [mJ];Sensor Latency;Sensor Latency IQR;Sensor Energy;Link Latency;Link Energy;Edge Latency;Edge Latency IQR;Edge Energy
1;Identity;(1, 3, 224, 224);0.80342;30.003607684012188;1.4701716;0;0;0;2.450286;1.4701716;27.55332168401219;0.0;0
2;MaxPool2d: 1-4;[1, 64, 56, 56];0.80266;32.53829281599484;2.537917720447529;1.229312;0;0.5776949204475289;3.267038;1.9602228;28.041942815994844;0.0;0
3;Bottleneck: 2-4;[1, 512, 28, 28];0.8021;38.054006937957254;10.31577309914534;9.357824;0;6.395345499145339;6.534046;3.9204276;22.162136937957257;0.0;0
4;Bottleneck: 2-5;[1, 512, 28, 28];0.8019;37.15904331202218;11.493414823393724;11.063808000000002;0;7.572987223393723;6.534046;3.9204276;19.56118931202218;0.0;0
5;Bottleneck: 2-6;[1, 512, 28, 28];0.80124;37.357117248066245;12.67105654764211;12.769792000000002;0;8.75062894764211;6.534046;3.9204276;18.053279248066247;0.0;0
6;Bottleneck: 2-7;[1, 512, 28, 28];0.8005;38.97179657215749;13.848698271890495;14.475776000000003;0;9.928270671890495;6.534046;3.9204276;17.961974572157487;0.0;0
7;Bottleneck: 2-8;[1, 1024, 14, 14];0.79894;35.108466193910814;14.046771811246245;17.385984000000004;0;12.086549011246245;3.267038;1.9602228;14.455444193910807;0.0;0
8;Bottleneck: 2-9;[1, 1024, 14, 14];0.79774;35.04959153781361;15.166064358668502;19.091968000000005;0;13.205841558668501;3.267038;1.9602228;12.690585537813604;0.0;0
9;Bottleneck: 2-10;[1, 1024, 14, 14];0.79712;35.20424974792802;16.285356906090758;20.797952000000006;0;14.325134106090758;3.267038;1.9602228;11.139259747928008;0.0;0
10;Bottleneck: 2-11;[1, 1024, 14, 14];0.79672;35.376862474034155;17.404649453513013;22.503936000000007;0;15.444426653513014;3.267038;1.9602228;9.605888474034145;0.0;0
11;Bottleneck: 2-12;[1, 1024, 14, 14];0.79648;34.59342471406926;18.52394200093527;24.209920000000007;0;16.56371920093527;3.267038;1.9602228;7.116466714069247;0.0;0
12;Bottleneck: 2-13;[1, 1024, 14, 14];0.79534;35.960716394024175;19.64323454835753;25.91590400000001;0;17.68301174835753;3.267038;1.9602228;6.7777743940241635;0.0;0
13;Bottleneck: 2-14;[1, 2048, 7, 7];0.79478;33.90762530214555;20.759572853161092;28.82611200000001;0;19.779452453161092;1.633534;0.9801204;3.4479793021455407;0.0;0
14;Bottleneck: 2-15;[1, 2048, 7, 7];0.79494;33.99611200001941;21.952495580425747;30.53209600000001;0;20.972375180425747;1.633534;0.9801204;1.8304820000194013;0.0;0
15;Bottleneck: 2-16;[1, 2048, 7, 7];0.79578;34.07241469010147;23.145418307690402;32.23808000000001;0;22.1652979076904;1.633534;0.9801204;0.20080069010145962;0.0;0
16;AdaptiveAvgPool2d: 1-9;[1, 2048, 1, 1];0.79578;32.42384274997717;22.1853511076904;32.23808000000001;0;22.1652979076904;0.033422;0.0200532;0.15234074997715652;0.0;0
17;Linear: 1-10;[1, 1000];0.79578;32.257093857969565;22.1751655076904;32.23808000000001;0;22.1652979076904;0.016446000000000002;0.0098676;0.0025678579695522785;0.0;0
