No.;Layer;Output Size;Accuracy;Latency [ms];Energy [mJ];Sensor Latency;Sensor Latency IQR;Sensor Energy;Link Latency;Link Energy;Edge Latency;Edge Latency IQR;Edge Energy
1;Identity;(1, 3, 224, 224);0.80342;32.09954519380039;1.4701716;0;0;0;2.450286;1.4701716;29.64925919380039;0.0;0
2;Conv2d: 1-1;[1, 64, 112, 112];0;14.297166;8.418407320447528;1.229312;0;0.5776949204475289;13.067854;7.8407124;0;0;0
3;BatchNorm2d: 1-2;[1, 64, 112, 112];0;14.297166;8.418407320447528;1.229312;0;0.5776949204475289;13.067854;7.8407124;0;0;0
4;ReLU: 1-3;[1, 64, 112, 112];0;14.297166;8.418407320447528;1.229312;0;0.5776949204475289;13.067854;7.8407124;0;0;0
5;MaxPool2d: 1-4;[1, 64, 56, 56];0.80266;33.28155177816972;2.537917720447529;1.229312;0;0.5776949204475289;3.267038;1.9602228;28.78520177816972;0.0;0
6;Bottleneck: 2-1;[1, 256, 56, 56];0;16.103502;9.629012161102949;3.035648;0;1.7882997611029483;13.067854;7.8407124;0;0;0
7;Bottleneck: 2-2;[1, 256, 56, 56];0;17.809486;10.791116519425886;4.741632;0;2.9504041194258863;13.067854;7.8407124;0;0;0
8;Bottleneck: 2-3;[1, 256, 56, 56];0;19.51547;11.953220877748823;6.447616;0;4.112508477748824;13.067854;7.8407124;0;0;0
9;Bottleneck: 2-4;[1, 512, 28, 28];0.8021;37.22499654215842;10.31577309914534;9.357824;0;6.395345499145339;6.534046;3.9204276;21.333126542158425;0.0;0
10;Bottleneck: 2-5;[1, 512, 28, 28];0.8019;37.726489778091846;11.493414823393724;11.063808000000002;0;7.572987223393723;6.534046;3.9204276;20.128635778091848;0.0;0
11;Bottleneck: 2-6;[1, 512, 28, 28];0.80124;37.252475295980005;12.67105654764211;12.769792000000002;0;8.75062894764211;6.534046;3.9204276;17.948637295980006;0.0;0
12;Bottleneck: 2-7;[1, 512, 28, 28];0.8005;37.560771414260685;13.848698271890495;14.475776000000003;0;9.928270671890495;6.534046;3.9204276;16.550949414260685;0.0;0
13;Bottleneck: 2-8;[1, 1024, 14, 14];0.79894;34.04905404792366;14.046771811246245;17.385984000000004;0;12.086549011246245;3.267038;1.9602228;13.396032047923654;0.0;0
14;Bottleneck: 2-9;[1, 1024, 14, 14];0.79774;34.35560694222055;15.166064358668502;19.091968000000005;0;13.205841558668501;3.267038;1.9602228;11.996600942220539;0.0;0
15;Bottleneck: 2-10;[1, 1024, 14, 14];0.79712;34.06044885575936;16.285356906090758;20.797952000000006;0;14.325134106090758;3.267038;1.9602228;9.995458855759352;0.0;0
16;Bottleneck: 2-11;[1, 1024, 14, 14];0.79672;34.66901204224358;17.404649453513013;22.503936000000007;0;15.444426653513014;3.267038;1.9602228;8.89803804224357;0.0;0
17;Bottleneck: 2-12;[1, 1024, 14, 14];0.79648;34.92953844358344;18.52394200093527;24.209920000000007;0;16.56371920093527;3.267038;1.9602228;7.452580443583429;0.0;0
18;Bottleneck: 2-13;[1, 1024, 14, 14];0.79534;34.75279166620804;19.64323454835753;25.91590400000001;0;17.68301174835753;3.267038;1.9602228;5.569849666208029;0.0;0
19;Bottleneck: 2-14;[1, 2048, 7, 7];0.79478;33.672222755788184;20.759572853161092;28.82611200000001;0;19.779452453161092;1.633534;0.9801204;3.2125767557881773;0.0;0
20;Bottleneck: 2-15;[1, 2048, 7, 7];0.79494;33.768386741922356;21.952495580425747;30.53209600000001;0;20.972375180425747;1.633534;0.9801204;1.6027567419223487;0.0;0
21;Bottleneck: 2-16;[1, 2048, 7, 7];0.79578;34.05450763803343;23.145418307690402;32.23808000000001;0;22.1652979076904;1.633534;0.9801204;0.18289363803341985;0.0;0
22;AdaptiveAvgPool2d: 1-9;[1, 2048, 1, 1];0.79578;32.42025493243678;22.1853511076904;32.23808000000001;0;22.1652979076904;0.033422;0.0200532;0.14875293243676424;0.0;0
23;Linear: 1-10;[1, 1000];0.79578;32.25696785794146;22.1751655076904;32.23808000000001;0;22.1652979076904;0.016446000000000002;0.0098676;0.0024418579414486885;0.0;0
