No.;Layer;Latency [ms];Energy [mJ]
1;/conv1/Conv;5.45832;0.3722226853433096
2;/layer1/layer1.0/conv1/Conv;0.69312;0.09970904582069177
3;/layer1/layer1.0/conv2/Conv;8.317440000000001;0.443263859243137
4;/layer1/layer1.0/conv3/Conv;2.77248;0.2660650550421802
5;/layer1/layer1.0/downsample/downsample.0/Conv;2.77248;0.2660650550421802
6;/layer1/layer1.1/conv1/Conv;2.77248;0.2932006114922174
7;/layer1/layer1.1/conv2/Conv;8.317440000000001;0.443263859243137
8;/layer1/layer1.1/conv3/Conv;2.77248;0.2660650550421802
9;/layer1/layer1.2/conv1/Conv;2.77248;0.2932006114922174
10;/layer1/layer1.2/conv2/Conv;8.317440000000001;0.443263859243137
11;/layer1/layer1.2/conv3/Conv;2.77248;0.2660650550421802
12;/layer2/layer2.0/conv1/Conv;4.158720000000001;0.7560659283160991
13;/layer2/layer2.0/conv2/Conv;6.458880000000001;1.0315700898647284
14;/layer2/layer2.0/conv3/Conv;2.15296;0.4267945642356201
15;/layer2/layer2.0/downsample/downsample.0/Conv;4.30592;0.9541442861218292
16;/layer2/layer2.1/conv1/Conv;2.15296;0.44555615095375883
17;/layer2/layer2.1/conv2/Conv;6.458880000000001;0.9634292286100711
18;/layer2/layer2.1/conv3/Conv;2.15296;0.4267945642356201
19;/layer2/layer2.2/conv1/Conv;2.15296;0.44555615095375883
20;/layer2/layer2.2/conv2/Conv;6.458880000000001;0.9634292286100711
21;/layer2/layer2.2/conv3/Conv;2.15296;0.4267945642356201
22;/layer2/layer2.3/conv1/Conv;2.15296;0.44555615095375883
23;/layer2/layer2.3/conv2/Conv;6.458880000000001;0.9634292286100711
24;/layer2/layer2.3/conv3/Conv;2.15296;0.4267945642356201
25;/layer3/layer3.0/conv1/Conv;4.30592;0.8587543544835861
26;/layer3/layer3.0/conv2/Conv;7.3728;0.7261415811711538
27;/layer3/layer3.0/conv3/Conv;2.4576;0.29745792155999196
28;/layer3/layer3.0/downsample/downsample.0/Conv;4.9152;0.6519155710258412
29;/layer3/layer3.1/conv1/Conv;2.4576;0.3657745608735598
30;/layer3/layer3.1/conv2/Conv;7.3728;0.5535140989181769
31;/layer3/layer3.1/conv3/Conv;2.4576;0.29745792155999196
32;/layer3/layer3.2/conv1/Conv;2.4576;0.3657745608735598
33;/layer3/layer3.2/conv2/Conv;7.3728;0.5535140989181769
34;/layer3/layer3.2/conv3/Conv;2.4576;0.29745792155999196
35;/layer3/layer3.3/conv1/Conv;2.4576;0.3657745608735598
36;/layer3/layer3.3/conv2/Conv;7.3728;0.5535140989181769
37;/layer3/layer3.3/conv3/Conv;2.4576;0.29745792155999196
38;/layer3/layer3.4/conv1/Conv;2.4576;0.3657745608735598
39;/layer3/layer3.4/conv2/Conv;7.3728;0.5535140989181769
40;/layer3/layer3.4/conv3/Conv;2.4576;0.29745792155999196
41;/layer3/layer3.5/conv1/Conv;2.4576;0.3657745608735598
42;/layer3/layer3.5/conv2/Conv;7.3728;0.5535140989181769
43;/layer3/layer3.5/conv3/Conv;2.4576;0.29745792155999196
44;/layer4/layer4.0/conv1/Conv;4.9152;0.7665991831287275
45;/layer4/layer4.0/conv2/Conv;7.864319999999999;0.9305255665259855
46;/layer4/layer4.0/conv3/Conv;2.62144;0.4266880057414805
47;/layer4/layer4.0/downsample/downsample.0/Conv;5.24288;0.7823455348146917
48;/layer4/layer4.1/conv1/Conv;2.62144;0.4187016747716875
49;/layer4/layer4.1/conv2/Conv;7.864319999999999;0.7969699325403774
50;/layer4/layer4.1/conv3/Conv;2.62144;0.4266880057414805
51;/layer4/layer4.2/conv1/Conv;2.62144;0.4187016747716875
52;/layer4/layer4.2/conv2/Conv;7.864319999999999;0.7969699325403774
53;/layer4/layer4.2/conv3/Conv;2.62144;0.4266880057414805
54;/fc/Gemm;0.10239999999999999;0.26638635738478905
