No.;Partitioning Point;Layer;Latency [ms];Energy [mJ]
1;Conv2d: 1-1;Conv2d: 1-1;1.229312;0.5776949204475289
2;Bottleneck: 2-1;Conv2d: 3-1;0.10035200000000001;0.09001687624251174
3;Bottleneck: 2-1;Conv2d: 3-4;0.903168;0.5053191692721736
4;Bottleneck: 2-1;Conv2d: 3-7;0.40140800000000004;0.307634397570367
5;Bottleneck: 2-1;Conv2d: 4-1;0.40140800000000004;0.307634397570367
6;Bottleneck: 2-2;Conv2d: 3-11;0.40140800000000004;0.3491507914803972
7;Bottleneck: 2-2;Conv2d: 3-14;0.903168;0.5053191692721736
8;Bottleneck: 2-2;Conv2d: 3-17;0.40140800000000004;0.307634397570367
9;Bottleneck: 2-3;Conv2d: 3-20;0.40140800000000004;0.3491507914803972
10;Bottleneck: 2-3;Conv2d: 3-23;0.903168;0.5053191692721736
11;Bottleneck: 2-3;Conv2d: 3-26;0.40140800000000004;0.307634397570367
12;Bottleneck: 2-4;Conv2d: 3-29;0.8028160000000001;0.6283907730945544
13;Bottleneck: 2-4;Conv2d: 3-32;0.903168;0.5515360314617093
14;Bottleneck: 2-4;Conv2d: 3-35;0.40140800000000004;0.3721108533945374
15;Bottleneck: 2-4;Conv2d: 4-3;0.8028160000000001;0.730799363445715
16;Bottleneck: 2-5;Conv2d: 3-39;0.40140800000000004;0.28660924307005753
17;Bottleneck: 2-5;Conv2d: 3-42;0.903168;0.5189216277837894
18;Bottleneck: 2-5;Conv2d: 3-45;0.40140800000000004;0.3721108533945374
19;Bottleneck: 2-6;Conv2d: 3-48;0.40140800000000004;0.28660924307005753
20;Bottleneck: 2-6;Conv2d: 3-51;0.903168;0.5189216277837894
21;Bottleneck: 2-6;Conv2d: 3-54;0.40140800000000004;0.3721108533945374
22;Bottleneck: 2-7;Conv2d: 3-57;0.40140800000000004;0.28660924307005753
23;Bottleneck: 2-7;Conv2d: 3-60;0.903168;0.5189216277837894
24;Bottleneck: 2-7;Conv2d: 3-63;0.40140800000000004;0.3721108533945374
25;Bottleneck: 2-8;Conv2d: 3-66;0.8028160000000001;0.543139522069715
26;Bottleneck: 2-8;Conv2d: 3-69;0.903168;0.5768890856585407
27;Bottleneck: 2-8;Conv2d: 3-72;0.40140800000000004;0.29139052998825804
28;Bottleneck: 2-8;Conv2d: 4-5;0.8028160000000001;0.7468592016392362
29;Bottleneck: 2-9;Conv2d: 3-76;0.40140800000000004;0.2819855362205781
30;Bottleneck: 2-9;Conv2d: 3-79;0.903168;0.5459164812134206
31;Bottleneck: 2-9;Conv2d: 3-82;0.40140800000000004;0.29139052998825804
32;Bottleneck: 2-10;Conv2d: 3-85;0.40140800000000004;0.2819855362205781
33;Bottleneck: 2-10;Conv2d: 3-88;0.903168;0.5459164812134206
34;Bottleneck: 2-10;Conv2d: 3-91;0.40140800000000004;0.29139052998825804
35;Bottleneck: 2-11;Conv2d: 3-94;0.40140800000000004;0.2819855362205781
36;Bottleneck: 2-11;Conv2d: 3-97;0.903168;0.5459164812134206
37;Bottleneck: 2-11;Conv2d: 3-100;0.40140800000000004;0.29139052998825804
38;Bottleneck: 2-12;Conv2d: 3-103;0.40140800000000004;0.2819855362205781
39;Bottleneck: 2-12;Conv2d: 3-106;0.903168;0.5459164812134206
40;Bottleneck: 2-12;Conv2d: 3-109;0.40140800000000004;0.29139052998825804
41;Bottleneck: 2-13;Conv2d: 3-112;0.40140800000000004;0.2819855362205781
42;Bottleneck: 2-13;Conv2d: 3-115;0.903168;0.5459164812134206
43;Bottleneck: 2-13;Conv2d: 3-118;0.40140800000000004;0.29139052998825804
44;Bottleneck: 2-14;Conv2d: 3-121;0.8028160000000001;0.5639710724411562
45;Bottleneck: 2-14;Conv2d: 3-124;0.903168;0.6303638155177872
46;Bottleneck: 2-14;Conv2d: 3-127;0.40140800000000004;0.2837120338094343
47;Bottleneck: 2-14;Conv2d: 4-7;0.8028160000000001;0.6183937830351887
48;Bottleneck: 2-15;Conv2d: 3-131;0.40140800000000004;0.2866228716436744
49;Bottleneck: 2-15;Conv2d: 3-134;0.903168;0.6225878218115473
50;Bottleneck: 2-15;Conv2d: 3-137;0.40140800000000004;0.2837120338094343
51;Bottleneck: 2-16;Conv2d: 3-140;0.40140800000000004;0.2866228716436744
52;Bottleneck: 2-16;Conv2d: 3-143;0.903168;0.6225878218115473
53;Bottleneck: 2-16;Conv2d: 3-146;0.40140800000000004;0.2837120338094343
