No.;Layer;Latency [ms];Energy [mJ]
1;/conv1/Conv;3.07328;0.5776949204475289
2;/layer1/layer1.0/conv1/Conv;0.25088;0.09001687624251174
3;/layer1/layer1.0/conv2/Conv;2.25792;0.5053191692721736
4;/layer1/layer1.0/conv3/Conv;1.00352;0.307634397570367
5;/layer1/layer1.0/downsample/downsample.0/Conv;1.00352;0.307634397570367
6;/layer1/layer1.1/conv1/Conv;1.00352;0.3491507914803972
7;/layer1/layer1.1/conv2/Conv;2.25792;0.5053191692721736
8;/layer1/layer1.1/conv3/Conv;1.00352;0.307634397570367
9;/layer1/layer1.2/conv1/Conv;1.00352;0.3491507914803972
10;/layer1/layer1.2/conv2/Conv;2.25792;0.5053191692721736
11;/layer1/layer1.2/conv3/Conv;1.00352;0.307634397570367
12;/layer2/layer2.0/conv1/Conv;2.00704;0.6283907730945544
13;/layer2/layer2.0/conv2/Conv;2.25792;0.5515360314617093
14;/layer2/layer2.0/conv3/Conv;1.00352;0.3721108533945374
15;/layer2/layer2.0/downsample/downsample.0/Conv;2.00704;0.730799363445715
16;/layer2/layer2.1/conv1/Conv;1.00352;0.28660924307005753
17;/layer2/layer2.1/conv2/Conv;2.25792;0.5189216277837894
18;/layer2/layer2.1/conv3/Conv;1.00352;0.3721108533945374
19;/layer2/layer2.2/conv1/Conv;1.00352;0.28660924307005753
20;/layer2/layer2.2/conv2/Conv;2.25792;0.5189216277837894
21;/layer2/layer2.2/conv3/Conv;1.00352;0.3721108533945374
22;/layer2/layer2.3/conv1/Conv;1.00352;0.28660924307005753
23;/layer2/layer2.3/conv2/Conv;2.25792;0.5189216277837894
24;/layer2/layer2.3/conv3/Conv;1.00352;0.3721108533945374
25;/layer3/layer3.0/conv1/Conv;2.00704;0.543139522069715
26;/layer3/layer3.0/conv2/Conv;2.25792;0.5768890856585407
27;/layer3/layer3.0/conv3/Conv;1.00352;0.29139052998825804
28;/layer3/layer3.0/downsample/downsample.0/Conv;2.00704;0.7468592016392362
29;/layer3/layer3.1/conv1/Conv;1.00352;0.2819855362205781
30;/layer3/layer3.1/conv2/Conv;2.25792;0.5459164812134206
31;/layer3/layer3.1/conv3/Conv;1.00352;0.29139052998825804
32;/layer3/layer3.2/conv1/Conv;1.00352;0.2819855362205781
33;/layer3/layer3.2/conv2/Conv;2.25792;0.5459164812134206
34;/layer3/layer3.2/conv3/Conv;1.00352;0.29139052998825804
35;/layer3/layer3.3/conv1/Conv;1.00352;0.2819855362205781
36;/layer3/layer3.3/conv2/Conv;2.25792;0.5459164812134206
37;/layer3/layer3.3/conv3/Conv;1.00352;0.29139052998825804
38;/layer3/layer3.4/conv1/Conv;1.00352;0.2819855362205781
39;/layer3/layer3.4/conv2/Conv;2.25792;0.5459164812134206
40;/layer3/layer3.4/conv3/Conv;1.00352;0.29139052998825804
41;/layer3/layer3.5/conv1/Conv;1.00352;0.2819855362205781
42;/layer3/layer3.5/conv2/Conv;2.25792;0.5459164812134206
43;/layer3/layer3.5/conv3/Conv;1.00352;0.29139052998825804
44;/layer4/layer4.0/conv1/Conv;2.00704;0.5639710724411562
45;/layer4/layer4.0/conv2/Conv;2.25792;0.6303638155177872
46;/layer4/layer4.0/conv3/Conv;1.00352;0.2837120338094343
47;/layer4/layer4.0/downsample/downsample.0/Conv;2.00704;0.6183937830351887
48;/layer4/layer4.1/conv1/Conv;1.00352;0.2866228716436744
49;/layer4/layer4.1/conv2/Conv;2.25792;0.6225878218115473
50;/layer4/layer4.1/conv3/Conv;1.00352;0.2837120338094343
51;/layer4/layer4.2/conv1/Conv;1.00352;0.2866228716436744
52;/layer4/layer4.2/conv2/Conv;2.25792;0.6225878218115473
53;/layer4/layer4.2/conv3/Conv;1.00352;0.2837120338094343
