No.;Layer;Latency [ms];Energy [mJ]
1;/features/features.0/Conv;1.1492099999999998;0.26409806506292
2;/features/features.3/squeeze/Conv;0.25088;0.056533281259519994
3;/features/features.3/expand1x1/Conv;0.25088;0.05628898786304
4;/features/features.3/expand3x3/Conv;1.50528;0.17626397013375997
5;/features/features.4/squeeze/Conv;0.50176;0.12132780305408002
6;/features/features.4/expand1x1/Conv;0.25088;0.05628898786304
7;/features/features.4/expand3x3/Conv;1.50528;0.17626397013375997
8;/features/features.6/squeeze/Conv;0.25088;0.0513129575168
9;/features/features.6/expand1x1/Conv;0.25088;0.035872566758400004
10;/features/features.6/expand3x3/Conv;1.50528;0.29865628697855995
11;/features/features.7/squeeze/Conv;0.50176;0.09945827881472001
12;/features/features.7/expand1x1/Conv;0.25088;0.035872566758400004
13;/features/features.7/expand3x3/Conv;1.50528;0.29865628697855995
14;/features/features.9/squeeze/Conv;0.07168000000000001;0.02515589737152
15;/features/features.9/expand1x1/Conv;0.05376;0.017893306348799997
16;/features/features.9/expand3x3/Conv;0.48384;0.10502625298176
17;/features/features.10/squeeze/Conv;0.10752;0.03569226823872
18;/features/features.10/expand1x1/Conv;0.05376;0.017893306348799997
19;/features/features.10/expand3x3/Conv;0.48384;0.10502625298176
20;/features/features.11/squeeze/Conv;0.14336000000000002;0.04488079436544
21;/features/features.11/expand1x1/Conv;0.14336000000000002;0.0309068211456
22;/features/features.11/expand3x3/Conv;0.86016;0.18259928323072
23;/features/features.12/squeeze/Conv;0.28672000000000003;0.06177594920192
24;/features/features.12/expand1x1/Conv;0.14336000000000002;0.0309068211456
25;/features/features.12/expand3x3/Conv;0.86016;0.18259928323072
26;/classifier/classifier.1/Conv;3.584;0.8917641519856
