No.;Partitioning Point;Layer;Latency [ms];Energy [mJ]
1;Conv2d: 2-1;Conv2d: 2-1;1.1492099999999998;0.26409806506292
2;Fire: 2-4;Conv2d: 3-1;0.25088;0.056533281259519994
3;Fire: 2-4;Conv2d: 3-3;0.25088;0.05628898786304
4;Fire: 2-4;Conv2d: 3-5;1.50528;0.17626397013375997
5;Fire: 2-5;Conv2d: 3-7;0.50176;0.12132780305408002
6;Fire: 2-5;Conv2d: 3-9;0.25088;0.05628898786304
7;Fire: 2-5;Conv2d: 3-11;1.50528;0.17626397013375997
8;Fire: 2-7;Conv2d: 3-13;0.25088;0.0513129575168
9;Fire: 2-7;Conv2d: 3-15;0.25088;0.035872566758400004
10;Fire: 2-7;Conv2d: 3-17;1.50528;0.29865628697855995
11;Fire: 2-8;Conv2d: 3-19;0.50176;0.09945827881472001
12;Fire: 2-8;Conv2d: 3-21;0.25088;0.035872566758400004
13;Fire: 2-8;Conv2d: 3-23;1.50528;0.29865628697855995
14;Fire: 2-10;Conv2d: 3-25;0.07168000000000001;0.02515589737152
15;Fire: 2-10;Conv2d: 3-27;0.05376;0.017893306348799997
16;Fire: 2-10;Conv2d: 3-29;0.48384;0.10502625298176
17;Fire: 2-11;Conv2d: 3-31;0.10752;0.03569226823872
18;Fire: 2-11;Conv2d: 3-33;0.05376;0.017893306348799997
19;Fire: 2-11;Conv2d: 3-35;0.48384;0.10502625298176
20;Fire: 2-12;Conv2d: 3-37;0.14336000000000002;0.04488079436544
21;Fire: 2-12;Conv2d: 3-39;0.14336000000000002;0.0309068211456
22;Fire: 2-12;Conv2d: 3-41;0.86016;0.18259928323072
23;Fire: 2-13;Conv2d: 3-43;0.28672000000000003;0.06177594920192
24;Fire: 2-13;Conv2d: 3-45;0.14336000000000002;0.0309068211456
25;Fire: 2-13;Conv2d: 3-47;0.86016;0.18259928323072
26;Conv2d: 2-15;Conv2d: 2-15;3.584;0.8917641519856
