No.;Layer;Latency [ms];Energy [mJ]
1;/features/features.0/Conv;0.5746049999999999;0.1920302533001381
2;/features/features.3/squeeze/Conv;0.06272;0.03561249591054794
3;/features/features.3/expand1x1/Conv;0.06272;0.035686325190547936
4;/features/features.3/expand3x3/Conv;0.56448;0.13768323312444342
5;/features/features.4/squeeze/Conv;0.12544;0.06744051155229587
6;/features/features.4/expand1x1/Conv;0.06272;0.035686325190547936
7;/features/features.4/expand3x3/Conv;0.56448;0.13768323312444342
8;/features/features.6/squeeze/Conv;0.06272;0.024972063555878592
9;/features/features.6/expand1x1/Conv;0.06272;0.025008978195878592
10;/features/features.6/expand3x3/Conv;0.56448;0.13107392992626732
11;/features/features.7/squeeze/Conv;0.12544;0.05138427148231718
12;/features/features.7/expand1x1/Conv;0.06272;0.025008978195878592
13;/features/features.7/expand3x3/Conv;0.56448;0.13107392992626732
14;/features/features.9/squeeze/Conv;0.04704;0.016653269615759598
15;/features/features.9/expand1x1/Conv;0.03528;0.012681192714419698
16;/features/features.9/expand3x3/Conv;0.31752;0.07896509240729728
17;/features/features.10/squeeze/Conv;0.07056;0.024803629996919395
18;/features/features.10/expand1x1/Conv;0.03528;0.012681192714419698
19;/features/features.10/expand3x3/Conv;0.31752;0.07896509240729728
20;/features/features.11/squeeze/Conv;0.09408;0.0305820163003192
21;/features/features.11/expand1x1/Conv;0.06272;0.02056315656618613
22;/features/features.11/expand3x3/Conv;0.56448;0.13883036874527513
23;/features/features.12/squeeze/Conv;0.12544;0.04038130588981226
24;/features/features.12/expand1x1/Conv;0.06272;0.02056315656618613
25;/features/features.12/expand3x3/Conv;0.56448;0.13883036874527513
26;/classifier/classifier.1/Conv;1.96;0.5486797668594984
