No.;Partitioning Point;Layer;Latency [ms];Energy [mJ]
1;Conv2d: 2-1;Conv2d: 2-1;0.903168;0.6922805247504858
2;Conv2d: 2-3;Conv2d: 2-3;14.450688;18.028471191307773
3;Conv2d: 2-6;Conv2d: 2-6;7.225344;4.326423480547886
4;Conv2d: 2-8;Conv2d: 2-8;14.450688;8.531743592494173
5;Conv2d: 2-11;Conv2d: 2-11;7.225344;4.8518855795489095
6;Conv2d: 2-13;Conv2d: 2-13;14.450688;9.643219474797018
7;Conv2d: 2-15;Conv2d: 2-15;14.450688;9.643219474797018
8;Conv2d: 2-18;Conv2d: 2-18;7.225344;4.127100045589355
9;Conv2d: 2-20;Conv2d: 2-20;14.450688;8.229927114497748
10;Conv2d: 2-22;Conv2d: 2-22;14.450688;8.229927114497748
11;Conv2d: 2-25;Conv2d: 2-25;3.612672;2.1773959290085623
12;Conv2d: 2-27;Conv2d: 2-27;3.612672;2.1773959290085623
13;Conv2d: 2-29;Conv2d: 2-29;3.612672;2.1773959290085623
