No.;Layer;Latency [ms];Energy [mJ]
1;Conv_0;2.25792;0.6922805247504858
2;Conv_1;36.12672;18.028471191307773
3;Conv_2;18.06336;4.326423480547886
4;Conv_3;36.12672;8.531743592494173
5;Conv_4;18.06336;4.8518855795489095
6;Conv_5;36.12672;9.643219474797018
7;Conv_6;36.12672;9.643219474797018
8;Conv_7;18.06336;4.127100045589355
9;Conv_8;36.12672;8.229927114497748
10;Conv_9;36.12672;8.229927114497748
11;Conv_10;9.03168;2.1773959290085623
12;Conv_11;9.03168;2.1773959290085623
13;Conv_12;9.03168;2.1773959290085623
