No.;Layer;Latency [ms];Energy [mJ]
1;/model/model.0/conv/Conv;1.29024;0.32422343844992
2;/model/model.1/conv/Conv;1.72032;0.40575651979468796
3;/model/model.2/cv1/conv/Conv;0.28672000000000003;0.083091932475392
4;/model/model.2/m/m.0/cv1/conv/Conv;0.14336000000000002;0.048321016684544
5;/model/model.2/m/m.0/cv2/conv/Conv;0.86016;0.19095197340057599
6;/model/model.2/cv2/conv/Conv;0.28672000000000003;0.083091932475392
7;/model/model.2/cv3/conv/Conv;0.5734400000000001;0.128822797287424
8;/model/model.3/conv/Conv;1.72032;0.379867429464576
9;/model/model.4/cv1/conv/Conv;0.28672000000000003;0.06534196324556799
10;/model/model.4/m/m.0/cv1/conv/Conv;0.14336000000000002;0.033345195380736
11;/model/model.4/m/m.0/cv2/conv/Conv;0.86016;0.184035821463552
12;/model/model.4/m/m.1/cv1/conv/Conv;0.14336000000000002;0.033345195380736
13;/model/model.4/m/m.1/cv2/conv/Conv;0.86016;0.184035821463552
14;/model/model.4/cv2/conv/Conv;0.28672000000000003;0.06534196324556799
15;/model/model.4/cv3/conv/Conv;0.5734400000000001;0.112041899126784
16;/model/model.5/conv/Conv;1.72032;0.40855835175219196
17;/model/model.6/cv1/conv/Conv;0.28672000000000003;0.055548870495231994
18;/model/model.6/m/m.0/cv1/conv/Conv;0.14336000000000002;0.031269874328575996
19;/model/model.6/m/m.0/cv2/conv/Conv;0.86016;0.18131484820172802
20;/model/model.6/m/m.1/cv1/conv/Conv;0.14336000000000002;0.031269874328575996
21;/model/model.6/m/m.1/cv2/conv/Conv;0.86016;0.18131484820172802
22;/model/model.6/m/m.2/cv1/conv/Conv;0.14336000000000002;0.031269874328575996
23;/model/model.6/m/m.2/cv2/conv/Conv;0.86016;0.18131484820172802
24;/model/model.6/cv2/conv/Conv;0.28672000000000003;0.055548870495231994
25;/model/model.6/cv3/conv/Conv;0.5734400000000001;0.115050276112384
26;/model/model.7/conv/Conv;1.72032;0.48045811007078404
27;/model/model.8/cv1/conv/Conv;0.28672000000000003;0.063871018280448
28;/model/model.8/m/m.0/cv1/conv/Conv;0.14336000000000002;0.032596895742464
29;/model/model.8/m/m.0/cv2/conv/Conv;0.86016;0.240302010075648
30;/model/model.8/cv2/conv/Conv;0.28672000000000003;0.063871018280448
31;/model/model.8/cv3/conv/Conv;0.5734400000000001;0.127477817170944
32;/model/model.9/conv/conv/Conv;1.1468800000000001;0.36747297123072
33;/model/model.9/linear/Gemm;0.064;0.172048433126
