No.;Layer;Latency [ms];Energy [mJ]
1;/model/model.0/conv/Conv;2.25792;0.24633437655817367
2;/model/model.1/conv/Conv;1.12896;0.3152031873951427
3;/model/model.2/cv1/conv/Conv;0.12544;0.05195679416213225
4;/model/model.2/m/m.0/cv1/conv/Conv;0.06272;0.02997250689243015
5;/model/model.2/m/m.0/cv2/conv/Conv;0.56448;0.14271726276466734
6;/model/model.2/cv2/conv/Conv;0.12544;0.05195679416213225
7;/model/model.2/cv3/conv/Conv;0.25088;0.09754813407247435
8;/model/model.3/conv/Conv;1.12896;0.31792972793550633
9;/model/model.4/cv1/conv/Conv;0.12544;0.04257728261653226
10;/model/model.4/m/m.0/cv1/conv/Conv;0.06272;0.023729732908150353
11;/model/model.4/m/m.0/cv2/conv/Conv;0.56448;0.15530857086239516
12;/model/model.4/m/m.1/cv1/conv/Conv;0.06272;0.023729732908150353
13;/model/model.4/m/m.1/cv2/conv/Conv;0.56448;0.15530857086239516
14;/model/model.4/cv2/conv/Conv;0.12544;0.04257728261653226
15;/model/model.4/cv3/conv/Conv;0.25088;0.0817344497945214
16;/model/model.5/conv/Conv;1.12896;0.3634409775089463
17;/model/model.6/cv1/conv/Conv;0.12544;0.0391589179679807
18;/model/model.6/m/m.0/cv1/conv/Conv;0.06272;0.020403489098870353
19;/model/model.6/m/m.0/cv2/conv/Conv;0.56448;0.15282341325343513
20;/model/model.6/m/m.1/cv1/conv/Conv;0.06272;0.020403489098870353
21;/model/model.6/m/m.1/cv2/conv/Conv;0.56448;0.15282341325343513
22;/model/model.6/m/m.2/cv1/conv/Conv;0.06272;0.020403489098870353
23;/model/model.6/m/m.2/cv2/conv/Conv;0.56448;0.15282341325343513
24;/model/model.6/cv2/conv/Conv;0.12544;0.0391589179679807
25;/model/model.6/cv3/conv/Conv;0.25088;0.07069888310524142
26;/model/model.7/conv/Conv;1.12896;0.34996820310737364
27;/model/model.8/cv1/conv/Conv;0.12544;0.0390983459273793
28;/model/model.8/m/m.0/cv1/conv/Conv;0.06272;0.02090224104928965
29;/model/model.8/m/m.0/cv2/conv/Conv;0.56448;0.17034419425736683
30;/model/model.8/cv2/conv/Conv;0.12544;0.0390983459273793
31;/model/model.8/cv3/conv/Conv;0.25088;0.0765185082752386
32;/model/model.9/conv/conv/Conv;0.6272;0.18675287840361648
33;/model/model.9/linear/Gemm;0.025;0.10167657326630754
